temperature,humidity,wind_speed,pressure,clouds,ndvi,urban_fraction,veg_class,lat,lon,distance_from_equator,hour,month,is_daytime,is_night,temp_humidity_interaction,wind_cooling_effect,temp_anomaly,heat_retention,hour_sin,hour_cos,month_sin,month_cos,lat_abs,lon_sin,lon_cos,heat_index,uhi_intensity,city_name
23.9,86.0,2.64,985.2499999999999,75,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,20.554000000000002,10.295999999999998,4.021,4.281,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,28.736,0.48,Delhi
23.2,87.0,2.72,985.5,42,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,20.183999999999997,8.703999999999999,3.321,4.066,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,27.685,0.48,Delhi
22.8,84.0,2.56,987.3,38,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,19.152,7.168000000000002,2.921,4.176,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,27.121,0.48,Delhi
23.6,73.0,2.42,988.4,6,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,17.228,8.712000000000003,3.721,4.499,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,28.434,0.48,Delhi
23.4,68.0,1.69,987.3,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,15.911999999999999,5.745999999999998,3.521,5.672,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,28.187,0.48,Delhi
24.2,67.0,2.58,987.1,14,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,16.214,10.835999999999999,4.321,4.407,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,29.409,0.48,Delhi
25.3,63.0,2.75,986.9,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,15.939,14.575000000000003,5.421,4.399,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,31.128,0.48,Delhi
25.8,59.0,1.5,987.7,1,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,15.222000000000001,8.700000000000001,5.921,6.729,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,31.945,0.0,Delhi
26.8,50.0,1.42,986.8,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,13.4,9.656,6.921,7.22,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,33.612,0.0,Delhi
26.2,50.0,1.67,986.9,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,13.1,10.354,6.321,6.398,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,32.689,0.0,Delhi
26.4,51.0,1.92,987.1,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,13.463999999999999,12.287999999999997,6.521,5.895,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,32.981,0.0,Delhi
26.6,55.0,1.75,988.0,1,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,14.63,11.550000000000002,6.721,6.307,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,33.227,0.0,Delhi
27.5,52.0,1.53,987.3,3,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,14.3,11.475,7.621,7.087,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,34.655,0.0,Delhi
28.2,50.0,2.81,986.9,9,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,14.1,23.041999999999998,8.321,4.826,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,35.766,0.0,Delhi
27.7,53.0,2.36,987.6,5,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,14.681,18.171999999999997,7.821,5.375,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,34.945,0.0,Delhi
27.2,57.0,1.97,988.8,21,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,15.503999999999998,14.184,7.321,5.971,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,34.113,0.31,Delhi
27.3,49.0,2.56,988.6,6,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,13.377,18.688000000000002,7.421,5.0,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,34.398,0.31,Delhi
26.2,44.0,2.69,988.2,1,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,11.527999999999999,16.677999999999997,6.321,4.629,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,32.778,0.31,Delhi
25.9,45.0,1.81,987.6,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,11.655,10.678999999999998,6.021,6.01,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,32.3,0.31,Delhi
25.7,45.0,1.81,987.8,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,11.565,10.316999999999998,5.821,5.963,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,31.991,0.31,Delhi
25.5,47.0,1.97,988.2,14,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,11.985,10.834999999999999,5.621,5.598,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,31.654,0.31,Delhi
24.2,59.0,3.97,989.3,77,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,14.277999999999999,16.674,4.321,3.175,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,29.505,0.31,Delhi
23.2,74.0,1.92,990.1,99,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,17.168,6.143999999999998,3.321,5.18,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,27.822,0.31,Delhi
25.5,62.0,2.39,987.6,63,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,15.81,13.145000000000001,5.621,4.904,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,31.446,0.25,Delhi
24.2,80.0,1.75,987.5,97,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,19.36,7.349999999999999,4.321,5.738,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,29.253,0.25,Delhi
25.2,73.0,1.92,986.2,32,0.3479,0.652,1,28.6139,77.209,28.6139,12,10,1,0,18.396,9.983999999999998,5.321,5.627,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,28.6139,0.9751841430316239,0.2213953187844701,30.842,0.25,Delhi
24.8,58.0,2.83,986.7,1,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,14.384,13.584000000000003,4.921,4.222,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,30.433,0.25,Delhi
23.5,57.0,3.56,986.5,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,13.395,12.46,3.621,3.36,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,28.459,0.25,Delhi
23.6,53.0,3.92,985.2499999999999,8,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,12.508000000000003,14.112000000000005,3.721,3.127,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,28.656,0.25,Delhi
23.5,65.0,3.06,985.2499999999999,17,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,15.275,10.71,3.621,3.774,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,28.371,0.25,Delhi
23.5,56.0,3.03,985.8,3,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,13.16,10.604999999999999,3.621,3.802,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,28.47,0.25,Delhi
20.2,50.0,2.97,988.4,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,10.1,0.593999999999998,0.321,3.317,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,23.459,0.0,Delhi
20.2,47.0,2.78,989.8,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,9.494,0.5559999999999979,0.321,3.484,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,23.477,0.0,Delhi
20.0,45.0,2.97,990.3,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,9.0,0.0,0.121,3.285,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,23.18,0.0,Delhi
20.1,46.0,2.58,988.8,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,9.246,0.25800000000000367,0.221,3.661,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,23.329,0.0,Delhi
20.0,47.0,2.44,989.1,23,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,9.4,0.0,0.121,3.791,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,23.169,0.0,Delhi
20.2,47.0,2.94,989.9,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,9.494,0.5879999999999979,0.321,3.343,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,23.477,0.0,Delhi
20.2,50.0,3.56,991.0,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,10.1,0.7119999999999975,0.321,2.888,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,23.459,0.0,Delhi
19.2,51.0,2.75,992.1,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,9.792,0.0,-0.679,3.338,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,21.916,0.0,Delhi
19.2,50.0,2.69,992.1,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,9.6,0.0,-0.679,3.393,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,21.921,0.0,Delhi
19.2,51.0,2.86,993.4,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,9.792,0.0,-0.679,3.243,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,21.916,0.0,Delhi
19.1,49.0,3.22,994.4,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,9.359000000000002,0.0,-0.779,2.951,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,21.771,0.0,Delhi
19.2,52.0,1.89,993.9,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,9.984,0.0,-0.679,4.332,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,21.911,0.0,Delhi
19.3,61.0,2.17,991.4,2,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,11.773,0.0,-0.579,3.97,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,22.022,0.0,Delhi
20.0,62.0,1.64,992.0,3,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,12.4,0.0,0.121,4.939,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,23.081,0.0,Delhi
20.0,63.0,1.56,992.6,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,12.6,0.0,0.121,5.094,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,23.075,0.0,Delhi
20.5,61.0,1.69,993.5,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,12.505,0.845,0.621,4.969,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,23.848,0.0,Delhi
20.0,55.0,2.28,991.7,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,11.0,0.0,0.121,3.976,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,23.122,0.0,Delhi
19.1,57.0,2.25,992.1,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,10.887,0.0,-0.779,3.832,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,21.735,0.0,Delhi
18.2,57.0,1.92,993.7,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,10.373999999999999,0.0,-1.679,4.064,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,20.36,0.0,Delhi
17.3,58.0,2.42,992.8,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,10.034,0.0,-2.579,3.298,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,18.983,0.0,Delhi
17.6,56.0,1.5,994.0,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,9.856000000000002,0.0,-2.279,4.59,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,19.445,0.0,Delhi
18.0,57.0,1.33,994.5,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,10.26,0.0,-1.879,5.037,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,20.054,0.0,Delhi
18.2,59.0,2.14,992.5,7,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,10.738,0.0,-1.679,3.779,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,20.353,0.0,Delhi
18.8,52.0,3.19,991.0,13,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,9.776,0.0,-1.079,2.925,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,21.297,0.0,Delhi
16.9,49.0,3.58,990.2,49,0.3479,0.652,1,28.6139,77.209,28.6139,12,11,1,0,8.280999999999999,0.0,-2.979,2.406,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,28.6139,0.9751841430316239,0.2213953187844701,18.384,0.0,Delhi
17.2,52.0,1.81,990.0,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,8.943999999999999,0.0,-2.679,3.991,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,18.84,0.0,Delhi
18.1,57.0,2.08,990.3,3,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,10.317,0.0,-1.779,3.832,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,20.207,0.0,Delhi
16.0,55.0,2.89,993.7,14,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,8.8,0.0,-3.879,2.682,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,16.998,0.0,Delhi
15.0,56.0,2.92,994.1,11,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,8.4,0.0,-4.879,2.495,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,15.468,0.0,Delhi
15.2,56.0,2.25,995.5,4,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,8.511999999999999,0.0,-4.679,3.049,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,15.774,0.0,Delhi
16.5,52.0,3.58,994.0,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,8.58,0.0,-3.379,2.349,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,17.766,0.0,Delhi
17.3,56.0,2.89,993.4,38,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,9.688,0.0,-2.579,2.9,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,18.986,0.0,Delhi
17.8,53.0,3.5,993.4,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,9.434000000000001,0.0,-2.079,2.579,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,19.759,1.1,Delhi
17.6,54.0,3.53,992.9,5,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,9.504000000000001,0.0,-2.279,2.533,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,19.45,1.1,Delhi
17.4,58.0,2.86,992.8,2,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,10.091999999999999,0.0,-2.479,2.939,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,19.135,1.1,Delhi
17.3,62.0,2.89,991.3,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,10.726,0.0,-2.579,2.9,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,18.975,1.1,Delhi
17.4,63.0,1.56,991.0,15,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,10.961999999999998,0.0,-2.479,4.432,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,19.125,1.1,Delhi
17.7,67.0,1.25,992.4,64,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,11.858999999999998,0.0,-2.179,5.129,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,19.571,1.1,Delhi
17.7,69.0,1.61,993.2,76,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,12.213,0.0,-2.179,4.422,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,19.566,1.1,Delhi
16.5,71.0,2.47,992.7,13,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,11.715,0.0,-3.379,3.1,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,17.752,1.1,Delhi
17.0,70.0,3.25,991.9,2,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,11.9,0.0,-2.879,2.608,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,18.507,0.39,Delhi
16.9,70.0,2.92,992.9,8,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,11.83,0.0,-2.979,2.811,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,18.356,0.39,Delhi
16.4,76.0,2.31,993.4,89,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,12.463999999999999,0.0,-3.479,3.23,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,17.598,0.39,Delhi
15.4,77.0,2.14,990.6,43,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,11.857999999999999,0.0,-4.479,3.198,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,16.099,0.39,Delhi
14.9,80.0,1.92,990.7,61,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,11.92,0.0,-4.979,3.327,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,15.354,0.39,Delhi
14.6,85.0,1.67,992.6,68,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,12.41,0.0,-5.279,3.565,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,14.916,0.39,Delhi
15.5,83.0,2.0,991.7,36,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,12.865,0.0,-4.379,3.369,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,16.253,0.39,Delhi
16.7,79.0,2.89,990.4,21,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,13.193,0.0,-3.179,2.799,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,18.045,0.39,Delhi
15.3,67.0,3.36,990.5,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,10.251000000000001,0.0,-4.579,2.288,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,15.939,2.45,Delhi
14.8,65.0,2.22,991.8,47,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,9.62,0.0,-5.079,2.997,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,15.178,2.45,Delhi
15.1,69.0,2.33,991.8,69,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,10.418999999999999,0.0,-4.779,2.957,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,15.639,2.45,Delhi
14.8,77.0,2.11,991.9,58,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,11.396,0.0,-5.079,3.103,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,15.199,2.45,Delhi
14.7,79.0,1.75,992.5,47,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,11.613,0.0,-5.179,3.485,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,15.053,2.45,Delhi
13.8,81.0,1.56,992.0,53,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,11.177999999999999,0.0,-6.079,3.515,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,13.713,2.45,Delhi
14.3,76.0,2.11,988.8,27,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,10.868,0.0,-5.579,2.998,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,14.448,2.45,Delhi
13.1,86.0,3.11,987.8,57,0.3479,0.652,1,28.6139,77.209,28.6139,12,12,1,0,11.265999999999998,0.0,-6.779,2.078,1.2246467991473532e-16,-1.0,-2.4492935982947064e-16,1.0,28.6139,0.9751841430316239,0.2213953187844701,12.69,2.45,Delhi
13.8,89.0,2.72,990.5,94,0.3479,0.652,1,28.6139,77.209,28.6139,12,1,1,0,12.282,0.0,-6.079,2.419,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,28.6139,0.9751841430316239,0.2213953187844701,13.739,2.45,Delhi
13.7,78.0,2.83,993.2,51,0.3479,0.652,1,28.6139,77.209,28.6139,12,1,1,0,10.686,0.0,-6.179,2.332,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,28.6139,0.9751841430316239,0.2213953187844701,13.554,2.45,Delhi
12.7,77.0,1.83,993.8,42,0.3479,0.652,1,28.6139,77.209,28.6139,12,1,1,0,9.779,0.0,-7.179,2.926,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,28.6139,0.9751841430316239,0.2213953187844701,12.052,0.46,Delhi
12.5,78.0,2.56,995.2,39,0.3479,0.652,1,28.6139,77.209,28.6139,12,1,1,0,9.75,0.0,-7.379,2.289,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,28.6139,0.9751841430316239,0.2213953187844701,11.757,0.46,Delhi
12.3,81.0,2.39,995.7,15,0.3479,0.652,1,28.6139,77.209,28.6139,12,1,1,0,9.963000000000001,0.0,-7.579,2.366,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,28.6139,0.9751841430316239,0.2213953187844701,11.474,0.46,Delhi
11.8,86.0,2.28,996.1,25,0.3479,0.652,1,28.6139,77.209,28.6139,12,1,1,0,10.148000000000001,0.0,-8.079,2.346,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,28.6139,0.9751841430316239,0.2213953187844701,10.758,0.46,Delhi
10.8,89.0,2.97,997.0,50,0.3479,0.652,1,28.6139,77.209,28.6139,12,1,1,0,9.612,0.0,-9.079,1.774,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,28.6139,0.9751841430316239,0.2213953187844701,9.295,0.46,Delhi
10.0,88.0,1.67,997.0,52,0.3479,0.652,1,28.6139,77.209,28.6139,12,1,1,0,8.8,0.0,-9.879,2.442,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,28.6139,0.9751841430316239,0.2213953187844701,8.101,0.46,Delhi
11.5,82.0,1.67,995.6,28,0.3479,0.652,1,28.6139,77.209,28.6139,12,1,1,0,9.43,0.0,-8.379,2.808,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,28.6139,0.9751841430316239,0.2213953187844701,10.286,0.46,Delhi
11.3,80.0,2.17,995.0,6,0.3479,0.652,1,28.6139,77.209,28.6139,12,1,1,0,9.04,0.0,-8.579,2.324,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,28.6139,0.9751841430316239,0.2213953187844701,9.974,0.46,Delhi
